resistance,temperature
187.2799805,150
210.3730033,145
236.9286608,140
267.5556932,135
302.9855242,130
344.1001698,125
391.9672287,120
447.8839469,115
513.4329548,110
590.5531012,105
681.6299052,100
789.9385921,95
918.901344,90
1073.103247,85
1258.290539,80
1481.70233,75
1752.507215,70
2082.382166,65
2486.285007,60
2983.492019,55
3599.001338,50
4365.023119,45
5323.023948,40
6528.39333,35
8054.639999,30
10000.04098,25
12497.00325,20
15725.36266,15
19931.45107,10
25455.69935,5
32773.00614,0
42581.93887,-5
55785.97942,-10
73722.89358,-15
98324.45261,-20
132410.9198,-25
180148.042,-30
247765.4052,-35
344701.6543,-40
485457.7253,-45
692643.8478,-50
